time;value
6,87;0,00
6,89;0,00
6,90;0,00
6,93;0,00
6,94;0,00
6,96;1,00
6,98;1,00
6,99;1,00
7,01;2,00
7,03;2,00
7,05;2,00
7,06;2,00
7,08;3,00
7,10;3,00
7,11;3,00
7,13;3,00
7,15;3,00
7,16;3,00
7,18;3,00
7,20;4,00
7,21;4,00
7,23;4,00
7,25;3,00
7,26;3,00
7,28;3,00
7,30;3,00
7,31;3,00
7,33;4,00
7,35;4,00
7,36;3,00
7,38;3,00
7,40;3,00
7,41;3,00
7,43;3,00
7,45;3,00
7,46;3,00
7,48;3,00
7,50;3,00
7,51;3,00
7,53;3,00
7,55;3,00
7,56;3,00
7,58;2,00
7,60;2,00
7,62;3,00
7,64;3,00
7,65;3,00
7,67;3,00
7,69;2,00
7,70;2,00
7,72;2,00
7,74;2,00
7,75;2,00
7,77;2,00
7,79;2,00
7,80;2,00
7,82;2,00
7,84;2,00
7,85;2,00
7,87;2,00
7,88;2,00
7,90;2,00
7,92;1,00
7,94;1,00
7,96;1,00
7,97;1,00
7,99;1,00
8,01;1,00
8,03;1,00
8,04;1,00
8,06;1,00
8,08;1,00
8,10;1,00
8,11;1,00
8,13;1,00
8,15;1,00
8,16;1,00
8,18;1,00
8,20;2,00
8,21;2,00
8,23;2,00
8,25;2,00
8,26;2,00
8,28;2,00
8,30;2,00
8,31;2,00
8,33;2,00
8,35;2,00
8,36;3,00
8,38;3,00
8,40;3,00
8,41;3,00
8,43;3,00
8,44;3,00
8,46;3,00
8,48;3,00
8,50;2,00
8,52;3,00
8,54;3,00
8,56;3,00
8,57;3,00
8,59;3,00
8,61;3,00
8,63;3,00
8,64;3,00
8,66;3,00
8,68;3,00
8,69;2,00
8,71;3,00
8,73;3,00
8,74;3,00
8,76;3,00
8,78;3,00
8,79;3,00
8,81;3,00
8,83;3,00
8,84;3,00
8,86;3,00
8,88;3,00
8,89;4,00
8,91;3,00
8,93;3,00
8,95;3,00
8,97;3,00
8,98;3,00
9,00;3,00
9,02;3,00
9,03;3,00
9,05;3,00
9,07;3,00
9,08;2,00
9,10;2,00
9,12;2,00
9,13;2,00
9,15;2,00
9,17;2,00
9,18;2,00
9,20;2,00
9,22;2,00
9,23;2,00
9,25;2,00
9,27;2,00
9,28;1,00
9,30;1,00
9,32;1,00
9,33;2,00
9,35;1,00
9,37;2,00
9,38;2,00
9,40;2,00
9,42;2,00
9,43;2,00
9,45;2,00
9,47;2,00
9,48;2,00
9,50;2,00
9,52;1,00
9,53;2,00
9,55;2,00
9,57;2,00
9,58;2,00
9,60;2,00
9,61;2,00
9,63;2,00
9,65;2,00
9,67;2,00
9,68;2,00
9,70;2,00
9,72;2,00
9,73;2,00
9,75;2,00
9,77;2,00
9,78;2,00
9,80;2,00
9,82;2,00
9,83;2,00
9,85;3,00
9,87;3,00
9,89;3,00
9,90;3,00
9,92;3,00
9,94;3,00
9,95;3,00
9,97;3,00
9,99;3,00
10,01;3,00
10,02;3,00
10,04;3,00
10,06;3,00
10,07;3,00
10,09;3,00
10,11;3,00
10,13;3,00
10,15;2,00
10,17;3,00
10,18;3,00
10,20;2,00
10,22;2,00
10,23;2,00
10,26;1,00
10,27;1,00
10,29;1,00
10,31;1,00
10,33;1,00
10,34;1,00
10,36;1,00
10,38;1,00
10,39;1,00
10,41;1,00
10,43;1,00
10,44;1,00
10,46;0,00
10,48;0,00
10,50;1,00
10,52;1,00
10,53;1,00
10,55;1,00
10,57;1,00
10,58;1,00
10,60;1,00
10,62;1,00
10,63;2,00
10,65;2,00
10,67;2,00
10,68;2,00
10,70;2,00
10,72;2,00
10,74;2,00
10,75;3,00
10,77;2,00
10,79;3,00
10,80;3,00
10,82;2,00
10,84;3,00
10,85;3,00
10,87;3,00
10,89;3,00
10,91;3,00
10,92;3,00
10,94;3,00
10,96;3,00
10,98;2,00
10,99;2,00
11,01;2,00
11,03;3,00
11,05;2,00
11,06;2,00
11,08;2,00
11,10;2,00
11,12;2,00
11,14;2,00
11,16;2,00
11,17;2,00
11,19;2,00
11,21;2,00
11,23;3,00
11,24;2,00
11,26;2,00
11,28;2,00
11,30;2,00
11,31;3,00
11,33;3,00
11,36;3,00
11,37;2,00
11,40;3,00
11,42;2,00
11,44;3,00
11,45;2,00
11,47;2,00
11,49;2,00
11,50;3,00
11,52;2,00
11,54;3,00
11,56;3,00
11,57;2,00
11,60;2,00
11,62;2,00
11,63;3,00
11,65;3,00
11,67;3,00
11,69;3,00
11,71;3,00
11,72;3,00
11,74;3,00
11,76;2,00
11,78;3,00
11,80;2,00
11,82;2,00
11,83;3,00
11,85;3,00
11,87;2,00
11,89;2,00
11,91;2,00
11,93;2,00
11,95;2,00
11,96;2,00
11,98;1,00
12,00;2,00
12,02;2,00
12,03;2,00
12,05;2,00
12,07;2,00
12,09;2,00
12,11;2,00
12,12;2,00
12,14;2,00
12,16;2,00
12,18;2,00
12,20;2,00
12,21;1,00
12,23;2,00
12,25;1,00
12,27;1,00
12,29;1,00
