time;value
39,96;0,00
39,96;0,00
39,98;0,00
40,00;0,00
40,01;0,00
40,03;0,00
40,05;0,00
40,06;0,00
40,08;0,00
40,10;0,00
40,11;0,00
40,13;0,00
40,15;0,00
40,16;0,00
40,18;0,00
40,20;0,00
40,21;0,00
40,23;0,00
40,25;0,00
40,26;0,00
40,28;0,00
40,30;0,00
40,31;0,00
40,33;0,00
40,35;0,00
40,37;0,00
40,38;0,00
40,40;0,00
40,42;0,00
40,43;0,00
40,45;0,00
40,47;0,00
40,48;0,00
40,50;0,00
40,52;0,00
40,53;0,00
40,55;0,00
40,57;0,00
40,59;0,00
40,60;0,00
40,62;0,00
40,63;0,00
40,65;0,00
40,67;0,00
40,69;0,00
40,70;0,00
40,72;0,00
40,74;0,00
40,75;0,00
40,77;0,00
40,79;0,00
40,80;0,00
40,82;0,00
40,84;0,00
40,85;0,00
40,87;0,00
40,89;0,00
40,90;0,00
40,92;0,00
40,94;0,00
40,96;0,00
40,97;0,00
40,99;0,00
41,01;0,00
41,02;0,00
41,04;0,00
41,06;0,00
41,07;0,00
41,09;0,00
41,11;0,00
41,12;0,00
41,14;0,00
41,16;0,00
41,17;0,00
41,19;0,00
41,21;0,00
41,23;0,00
41,24;0,00
41,26;0,00
41,28;0,00
41,29;0,00
41,31;0,00
41,33;0,00
41,34;0,00
41,36;0,00
41,38;0,00
41,39;0,00
41,41;0,00
41,43;0,00
41,44;0,00
41,46;0,00
41,48;0,00
41,49;0,00
41,51;0,00
41,53;0,00
41,54;0,00
41,56;0,00
41,58;0,00
41,60;0,00
41,61;0,00
41,63;0,00
41,65;0,00
41,66;0,00
41,68;0,00
41,70;0,00
41,71;0,00
41,73;0,00
41,75;0,00
41,76;0,00
41,78;0,00
41,80;0,00
41,81;0,00
41,83;0,00
41,85;0,00
41,87;0,00
41,88;0,00
41,90;0,00
41,92;0,00
41,93;0,00
41,95;0,00
41,97;0,00
41,98;0,00
42,00;0,00
42,02;0,00
42,03;0,00
42,05;0,00
42,07;0,00
42,08;0,00
42,10;0,00
42,12;0,00
42,13;0,00
42,15;0,00
42,17;0,00
42,19;0,00
42,20;0,00
42,22;0,00
42,24;0,00
42,25;0,00
42,27;0,00
42,29;0,00
42,30;0,00
42,32;0,00
42,34;0,00
42,35;0,00
42,37;0,00
42,39;0,00
42,40;0,00
42,42;0,00
42,44;0,00
42,45;0,00
42,47;0,00
42,49;0,00
42,51;0,00
42,52;0,00
42,54;0,00
42,56;0,00
42,57;0,00
42,59;0,00
42,61;0,00
42,62;0,00
42,64;0,00
42,66;0,00
42,67;0,00
42,69;0,00
42,71;0,00
42,72;0,00
42,74;0,00
42,76;0,00
42,77;0,00
42,79;0,00
42,81;0,00
42,83;0,00
42,84;0,00
42,86;0,00
42,88;0,00
42,89;0,00
42,91;0,00
42,93;0,00
42,94;0,00
42,96;0,00
42,98;0,00
42,99;0,00
43,01;0,00
43,03;0,00
43,04;0,00
43,06;0,00
43,08;0,00
43,09;0,00
43,11;0,00
43,13;0,00
43,15;0,00
43,16;0,00
43,18;0,00
43,20;0,00
43,21;0,00
43,23;0,00
43,25;0,00
43,26;0,00
43,28;0,00
43,30;0,00
43,31;0,00
43,33;0,00
43,35;0,00
43,36;0,00
43,38;0,00
43,40;0,00
43,42;0,00
43,43;0,00
43,45;0,00
43,47;0,00
43,48;0,00
43,50;0,00
43,52;0,00
43,53;0,00
43,55;0,00
43,57;0,00
43,58;0,00
43,60;0,00
43,62;0,00
43,63;0,00
43,65;0,00
43,67;0,00
43,69;0,00
43,70;0,00
43,72;0,00
43,74;0,00
43,75;0,00
43,77;0,00
43,79;0,00
43,80;0,00
43,82;0,00
43,84;0,00
43,85;0,00
43,87;0,00
43,89;0,00
43,90;0,00
43,92;0,00
43,94;0,00
43,95;0,00
43,97;0,00
43,99;0,00
44,00;0,00
44,02;0,00
44,04;0,00
44,06;0,00
44,07;0,00
44,09;0,00
44,11;0,00
44,12;0,00
44,14;0,00
44,16;0,00
44,17;0,00
44,19;0,00
44,21;0,00
44,22;0,00
44,24;0,00
44,26;0,00
44,27;0,00
44,29;0,00
44,31;0,00
44,33;0,00
44,34;0,00
44,36;0,00
44,38;0,00
44,39;0,00
44,41;0,00
44,43;0,00
44,44;0,00
44,46;0,00
44,48;0,00
44,49;0,00
44,51;0,00
44,53;0,00
44,54;0,00
44,56;0,00
44,58;0,00
44,59;0,00
44,61;0,00
44,63;0,00
44,65;0,00
44,66;0,00
44,68;0,00
44,70;0,00
44,71;0,00
44,73;0,00
44,75;0,00
44,76;0,00
44,78;0,00
44,80;0,00
44,81;0,00
44,83;0,00
44,85;0,00
44,86;0,00
44,88;0,00
44,90;0,00
44,91;0,00
44,93;0,00
44,95;0,00
44,97;0,00
44,98;0,00
45,00;0,00
45,02;0,00
45,03;0,00
45,05;0,00
45,07;0,00
45,08;0,00
45,10;0,00
45,12;0,00
45,13;0,00
45,15;0,00
45,17;0,00
45,18;0,00
45,20;0,00
45,22;0,00
45,24;0,00
45,25;0,00
45,27;0,00
45,29;0,00
45,30;0,00
45,32;0,00
45,34;0,00
45,35;0,00
45,37;0,00
45,39;0,00
45,40;0,00
45,42;0,00
45,44;0,00
45,45;0,00
45,47;0,00
45,49;0,00
45,50;0,00
45,52;0,00
45,54;0,00
45,55;0,00
45,57;0,00
45,59;0,00
45,61;0,00
45,62;0,00
45,64;0,00
45,66;0,00
45,67;0,00
45,69;0,00
45,71;0,00
45,72;0,00
45,74;0,00
45,76;0,00
45,77;0,00
45,79;0,00
45,81;0,00
45,82;0,00
45,84;0,00
45,86;0,00
45,88;0,00
45,89;0,00
45,91;0,00
45,93;0,00
45,94;0,00
45,96;0,00
45,98;0,00
45,99;0,00
46,01;0,00
46,03;0,00
46,04;0,00
46,06;0,00
46,08;0,00
46,09;0,00
46,11;0,00
46,13;0,00
46,14;0,00
46,16;0,00
46,18;0,00
46,20;0,00
46,21;0,00
46,23;0,00
46,25;0,00
46,26;0,00
46,28;0,00
46,30;0,00
46,31;0,00
46,33;0,00
46,35;0,00
46,36;0,00
46,38;0,00
46,40;0,00
46,41;0,00
46,43;0,00
46,45;0,00
46,46;0,00
46,48;0,00
46,50;0,00
46,52;0,00
46,53;0,00
46,55;0,00
46,57;0,00
46,58;0,00
46,61;0,00
46,63;0,00
46,64;0,00
46,66;0,00
46,68;0,00
46,69;0,00
46,71;0,00
46,73;0,00
46,74;0,00
46,76;0,00
46,78;0,00
46,79;0,00
46,81;0,00
46,83;0,00
46,85;0,00
46,86;0,00
46,88;0,00
46,90;0,00
46,91;0,00
46,93;0,00
46,95;0,00
46,96;0,00
46,98;0,00
47,00;0,00
47,01;0,00
47,03;0,00
47,05;0,00
47,06;0,00
47,08;0,00
47,10;0,00
47,12;0,00
47,13;0,00
47,15;0,00
47,17;0,00
47,18;0,00
47,20;0,00
47,22;0,00
47,23;0,00
47,25;0,00
47,27;0,00
47,28;0,00
47,30;0,00
47,32;0,00
47,33;0,00
47,35;0,00
47,37;0,00
47,38;0,00
47,40;0,00
47,42;0,00
47,43;0,00
47,45;0,00
47,47;0,00
47,49;0,00
47,50;0,00
47,52;0,00
47,54;0,00
47,55;0,00
47,57;0,00
47,59;0,00
47,60;0,00
47,62;0,00
47,64;0,00
47,65;0,00
47,67;0,00
47,69;0,00
47,70;0,00
47,72;0,00
47,74;0,00
47,75;0,00
47,77;0,00
47,79;0,00
47,81;0,00
47,82;0,00
47,84;0,00
47,86;0,00
47,87;0,00
47,89;0,00
47,91;0,00
47,92;0,00
47,94;0,00
47,96;0,00
47,97;0,00
47,99;0,00
48,01;0,00
48,02;0,00
48,04;0,00
48,06;0,00
48,08;0,00
48,09;0,00
48,11;0,00
48,13;0,00
48,14;0,00
48,16;0,00
48,18;0,00
48,19;0,00
48,21;0,00
48,23;0,00
48,24;0,00
48,26;0,00
48,29;24,00
48,30;48,00
48,32;61,00
48,34;97,00
48,36;133,00
48,38;157,00
48,39;182,00
48,41;194,00
48,43;206,00
48,44;230,00
48,46;230,00
48,48;230,00
48,49;230,00
48,51;230,00
48,53;230,00
48,54;230,00
48,56;230,00
48,58;230,00
48,59;206,00
48,61;206,00
48,63;169,00
48,65;157,00
48,66;145,00
48,68;121,00
48,70;109,00
48,71;97,00
48,73;97,00
48,75;85,00
48,76;61,00
48,78;48,00
48,80;48,00
48,81;48,00
48,83;48,00
48,85;24,00
48,87;0,00
48,88;0,00
48,90;0,00
48,92;0,00
48,93;0,00
48,95;0,00
48,97;0,00
48,98;0,00
49,00;0,00
49,02;0,00
49,04;0,00
49,05;0,00
49,07;0,00
49,09;0,00
49,10;0,00
49,12;0,00
49,14;0,00
49,15;0,00
49,17;0,00
49,19;0,00
49,20;0,00
49,22;0,00
49,24;0,00
49,25;0,00
49,27;0,00
49,29;0,00
49,31;0,00
49,32;0,00
49,34;0,00
49,36;0,00
49,37;0,00
49,39;0,00
49,41;0,00
49,42;0,00
49,44;0,00
49,46;0,00
49,47;0,00
49,49;0,00
49,51;0,00
49,52;0,00
49,54;0,00
49,56;0,00
49,57;0,00
49,59;0,00
49,61;0,00
49,63;0,00
49,64;0,00
49,66;0,00
49,68;0,00
49,69;0,00
49,71;0,00
49,73;0,00
49,74;0,00
49,76;0,00
49,78;0,00
49,79;0,00
49,81;0,00
49,83;0,00
49,85;0,00
49,86;0,00
49,88;0,00
49,90;0,00
49,91;0,00
49,93;0,00
49,95;0,00
49,96;0,00
49,98;0,00
50,00;0,00
50,01;0,00
50,03;0,00
50,05;0,00
50,07;0,00
50,08;0,00
50,10;0,00
50,12;0,00
50,13;0,00
50,15;0,00
50,17;0,00
50,18;0,00
50,20;0,00
50,22;0,00
50,23;0,00
50,25;0,00
50,27;0,00
50,28;0,00
50,30;0,00
50,32;0,00
50,34;0,00
50,35;0,00
50,37;0,00
50,39;0,00
50,40;0,00
50,42;0,00
50,44;0,00
50,45;0,00
50,47;0,00
50,49;0,00
50,50;0,00
50,52;0,00
50,54;0,00
50,55;0,00
50,57;0,00
50,59;0,00
50,61;0,00
50,62;0,00
50,64;0,00
50,66;0,00
50,67;0,00
50,69;0,00
50,71;0,00
50,72;0,00
50,74;0,00
50,76;0,00
50,77;0,00
50,79;0,00
50,81;0,00
50,82;0,00
50,84;0,00
50,86;0,00
50,87;0,00
50,89;0,00
50,91;0,00
50,92;0,00
50,94;0,00
50,96;0,00
50,98;0,00
50,99;0,00
51,01;0,00
51,03;0,00
51,04;0,00
51,06;0,00
51,08;0,00
51,09;0,00
51,11;0,00
51,13;0,00
51,14;0,00
51,16;0,00
51,18;0,00
51,19;0,00
51,21;0,00
51,23;0,00
51,25;0,00
51,26;0,00
51,28;0,00
51,30;0,00
51,31;0,00
51,33;0,00
51,35;0,00
51,36;0,00
51,38;0,00
51,40;0,00
51,41;0,00
51,43;0,00
51,45;0,00
51,46;0,00
51,48;0,00
51,50;0,00
51,51;0,00
51,53;0,00
51,55;0,00
51,56;0,00
51,58;0,00
51,60;0,00
51,62;0,00
51,63;0,00
51,65;0,00
51,67;0,00
51,68;0,00
51,70;0,00
51,72;0,00
51,73;0,00
51,75;0,00
51,77;0,00
51,78;0,00
51,80;0,00
51,82;0,00
51,83;0,00
51,85;0,00
51,87;0,00
51,89;0,00
51,90;0,00
51,92;0,00
51,94;0,00
51,95;0,00
51,97;0,00
51,99;0,00
52,00;0,00
52,02;0,00
52,04;0,00
52,05;0,00
52,07;0,00
52,09;0,00
52,10;0,00
52,12;0,00
52,14;0,00
52,15;0,00
52,17;0,00
52,19;0,00
52,21;0,00
52,22;0,00
52,24;0,00
52,26;0,00
52,27;0,00
52,29;0,00
52,31;0,00
52,32;0,00
52,34;0,00
52,36;0,00
52,37;0,00
52,39;0,00
52,41;0,00
52,42;0,00
52,44;0,00
52,46;0,00
52,47;0,00
52,49;0,00
52,51;0,00
52,53;0,00
52,54;0,00
52,56;0,00
52,58;0,00
52,59;0,00
52,61;0,00
52,63;0,00
52,64;0,00
52,66;0,00
52,68;0,00
52,69;0,00
52,71;0,00
52,73;0,00
52,74;0,00
52,76;0,00
52,78;0,00
52,79;0,00
52,81;0,00
52,83;0,00
52,85;0,00
52,86;0,00
52,88;0,00
52,90;0,00
52,91;0,00
52,93;0,00
52,95;0,00
52,96;0,00
52,98;0,00
53,00;0,00
53,01;0,00
53,03;0,00
53,05;0,00
53,06;0,00
53,08;0,00
53,10;0,00
53,12;0,00
53,13;0,00
53,15;0,00
53,17;0,00
53,18;0,00
53,20;0,00
53,22;0,00
53,23;0,00
53,25;0,00
53,27;0,00
53,28;0,00
53,30;0,00
53,32;0,00
53,33;0,00
53,35;0,00
53,37;0,00
53,38;0,00
53,40;0,00
53,42;0,00
53,44;0,00
53,45;0,00
53,47;0,00
53,49;0,00
53,50;0,00
53,52;0,00
53,54;0,00
53,55;0,00
53,57;0,00
53,59;0,00
53,60;0,00
53,62;0,00
53,64;0,00
53,65;0,00
53,67;0,00
53,69;0,00
53,71;0,00
53,72;0,00
53,74;0,00
53,76;0,00
53,77;0,00
53,79;0,00
53,81;0,00
53,82;0,00
53,84;0,00
53,86;0,00
53,87;0,00
53,89;0,00
53,91;0,00
53,92;0,00
53,94;0,00
53,96;0,00
53,97;0,00
53,99;0,00
54,02;0,00
54,03;0,00
54,05;0,00
54,07;0,00
54,08;0,00
54,10;0,00
54,12;0,00
54,13;0,00
54,15;0,00
54,17;0,00
54,18;0,00
54,20;0,00
54,22;0,00
54,23;0,00
54,25;0,00
54,27;0,00
54,29;0,00
54,30;0,00
54,32;0,00
54,34;0,00
54,35;0,00
54,37;0,00
54,39;0,00
54,40;0,00
54,42;0,00
54,44;0,00
54,45;0,00
54,47;0,00
54,49;0,00
54,50;0,00
54,52;0,00
54,54;0,00
54,56;0,00
54,57;0,00
54,59;0,00
54,61;0,00
54,62;0,00
54,64;0,00
54,66;0,00
54,67;0,00
54,69;0,00
54,71;0,00
54,72;0,00
54,74;0,00
54,76;0,00
54,77;0,00
54,79;0,00
54,81;0,00
54,82;0,00
54,84;0,00
54,86;0,00
54,88;0,00
54,89;0,00
54,91;0,00
54,93;0,00
54,94;0,00
54,96;0,00
54,98;0,00
54,99;0,00
55,01;0,00
55,03;0,00
55,04;0,00
55,06;0,00
55,08;0,00
55,09;0,00
55,11;0,00
55,13;0,00
55,14;0,00
55,16;0,00
55,18;0,00
55,20;0,00
55,21;0,00
55,23;0,00
55,25;0,00
55,26;0,00
55,28;0,00
55,30;0,00
55,31;0,00
55,33;0,00
55,35;0,00
55,36;0,00
55,38;0,00
55,40;0,00
55,41;0,00
55,43;0,00
55,45;0,00
55,46;0,00
55,48;0,00
55,50;0,00
55,52;0,00
55,53;0,00
55,55;0,00
55,57;0,00
55,58;0,00
55,60;0,00
55,62;0,00
55,63;0,00
55,65;0,00
55,67;0,00
55,68;0,00
55,70;0,00
55,72;0,00
55,73;0,00
55,75;0,00
55,77;0,00
55,79;0,00
55,80;0,00
55,82;0,00
55,84;0,00
55,85;0,00
55,87;0,00
55,89;0,00
55,90;0,00
55,92;0,00
55,94;0,00
55,96;0,00
55,97;0,00
